"Time","Sex","a0-4","a5-9","a10-14","a15-19","a20-24","a25-29","a30-34","a35-39","a40-44","a45-49","a50-54","a55-59","a60-64","a65-69","a70-74","a75-79","a80+","a80-84","a85-89","a90-94","a95-99","a100+"
"2023","Female","4,134089212","4,453886285","4,881731951","4,848567102","4,902806444","5,433061722","5,677688324","6,451088777","6,692800313","6,747039655","6,574429519","6,699156112","7,238968984","7,003661036","6,298549587","4,648431097","3,273427931","2,58389536","1,111787045","0,31258109","0,032352453","0"
"2023","Male","4,685785919","5,045180106","5,526146132","5,493297176","5,549017601","6,105914859","6,316465411","7,127814163","7,339592714","7,300194433","6,911839951","6,72743553","6,998976668","6,505730659","5,348393369","3,322963569","1,885591486","1,281774458","0,428213262","0,093123209","0,006549325","0"
"2024","Female","4,088574649","4,402584949","4,81623452","4,973648225","4,749039296","5,464827049","5,530580316","6,378787842","6,696739494","6,760954672","6,682175722","6,564896503","7,228485392","7,042857383","6,419883634","4,953220492","3,164424022","2,591342006","1,132032848","0,321220088","0,037490898","0"
"2024","Male","4,630995883","4,985715057","5,449262095","5,630350425","5,376487318","6,149082858","6,158134703","7,049638569","7,345263596","7,323816896","7,053907337","6,615972906","6,979898218","6,517019783","5,507996225","3,579336078","1,829141283","1,277750205","0,436031486","0,096741593","0,007457486","0"
"2025","Female","4,05524371","4,348885452","4,756522458","5,048037062","4,681540841","5,427296113","5,440203973","6,273510314","6,686320133","6,780300961","6,763380545","6,499228671","7,172226152","7,085593619","6,539934358","5,21356708","3,200375923","2,539222734","1,14744596","0,298911244","0,042252697","0"
"2025","Male","4,590933106","4,923804965","5,379558701","5,710776281","5,301032166","6,113334622","6,065308849","6,936389889","7,336466813","7,35394013","7,165972731","6,58227089","6,926050648","6,540913927","5,643571215","3,809389892","1,871144109","1,222305051","0,432645533","0,085764003","0,008426481","0"
"2026","Female","4,039667316","4,297568079","4,696915548","5,076424496","4,698082519","5,337534432","5,415138055","6,141140375","6,66467309","6,798242735","6,817789512","6,489481451","7,05590038","7,097473749","6,596210745","5,379253673","3,312254906","2,458906791","1,250702006","0,330107143","0,046533","0"
"2026","Male","4,568421621","4,862524903","5,308356378","5,736572834","5,315527094","6,01472387","6,043614581","6,790304361","7,310596967","7,374821641","7,238162343","6,599760768","6,81004981","6,53418509","5,706435042","3,996894768","1,99558949","1,192781063","0,492648977","0,098571365","0,009457031","0"
"2027","Female","4,020954227","4,254322347","4,638069128","5,057222137","4,798277419","5,176057957","5,458672032","5,97240466","6,635978009","6,817068149","6,850713846","6,552010477","6,896829969","7,124378557","6,643753686","5,521024159","3,516855614","2,323460343","1,31531202","0,376215622","0,050419642","0"
"2027","Male","4,543619468","4,810030986","5,239026128","5,709541982","5,423388539","5,834365258","6,099680003","6,605397066","7,2787638","7,396745298","7,285605578","6,695489179","6,662377063","6,545231202","5,742184052","4,172544415","2,165657722","1,127274304","0,534859903","0,117668134","0,010549917","0"
