"titreok_1","TITRE1","Ville","villeOk","Fin_type","Annee","titreok_2","Titre2","Deb_ann","Aire_diff","Liste_entites","changement_nom(fusion_nouveau_nom)","date_change","appartenance_affiliation_edition","date_groupe","trou","nonenonenonenonenonenone","source_erreur"
"L'éclair ","ECLAIR (L')","Clermont Ferrand","Clermont_Ferrand","cesse","1963","none","none","none","none","63","true,true,La dépêche - l'Eclair","1947","none","","none","nonenonenonenone","archives_63"
"L'éclair de l'Est","ECLAIR DE L'EST (L')","Nancy","Nancy","cesse","1949","none","none","1905","Départemental","54","none","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32763718t"
"L'éclair des Charentes","ECLAIR DES CHARENTES (L')","Angoulème","Angouleme","cesse","1946","none","none","1945","Département","16","none","none","none","","none","none","archives_16"
"L'éclaireur du Sud Ouest","ECLAIREUR DU SUD OUEST (L')","Bayonne","Bayonne","fusion","1947","none","none","1945","Départemental","64","true,true,COURRIER, L'ECLAIREUR","1947","none","","none","none","http://catalogue.bnf.fr/ark:/12148/cb34416514b"
"Courrier, l'Eclaireur","COURRIER, L'ECLAIREUR","Bayonne","Bayonne","cesse","1965","none","none","1947","Départemental","64","none","none","none","","none","none","http://catalogue.bnf.fr/ark:/12148/cb34416515p"
"L'Espoir","ESPOIR (L')","Vichy","Vichy","cesse","1966","none","none","1945","none","3","none","none","none","","none","none","archives_03"
"L'espoir","ESPOIR (L')","Toulouse","Toulouse","cesse","1947","none","none","1941","Départemental","31","none","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32769001m"
"L'essor de Nice","ESSOR DE NICE (L')","Nice","Nice","cesse","1931","none","none","1928","Départemental","6","none","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb41122896r"
"L'essor normand","ESSOR NORMAND (L')","Caen","Caen","cesse","none","none","none","none","none","14","none","none","none","","none","nonenonenonenone","none14"
"L'Etoile du midi","ETOILE DU MIDI (L')","Montpellier","Montpellier","cesse","none","none","none","none","none","34","none","none","none","","none","nonenonenonenone","archives_34"
"Le Haut-Marnais réûblicain","HAUT_MARNAIS REPUBLICAIN (LE)","Chaumont","Chaumont","fusion","1944","none","none","1933","Départemental","52","none","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb328364962"
"Le Havre éclair","HAVRE ECLAIR (LE)","Le Havre","Le_Havre","none","1961","none","none","1949","Départemental","76","none","none","none","","none","none","archives_76_http://catalogue.bnf.fr/ark:/12148/cb327860886"
"L'Humanité d'Alsace et de Lorraine","HUMANITE D'ALSACE ET DE LORRAINE","Strasbourg","Strasbourg","cesse","1992","none","none","1944","Départemental","57,67,68","none","none","none","","none","none","none47_http://data.bnf.fr/32787742/l_humanite_d_alsace_et_de_lorraine/"
"L'Indépendant de l'Aube","INDEPENDANT DE L'AUBE (L')","Troyes","Troyes","none","1962","Le Courrier de l'Aube","LE COURRIER DE L'AUBE","1871","Départemental","10","false,true,LE COURRIER","1960","none","","none","none","http://www.jschweitzer.fr/troyes-aube-pr%C3%A9curseurs/la-presse/"
"Le journal d'Alsace","JOURNAL D'ALSACE (LE)","Strasbourg","Strasbourg","cesse","1946","none","none","none","Départemental","67","none","none","none","","none","nonenonenonenone","none47"
"Le journal de Biarritz et de la côte basque","JOURNAL DE BIARRITZ ET DE LA COTE BASQUE","Biarritz","Biarritz","cesse","1968","none","none","none-1952","none","64","none","none","none","","none","nonenonenonenone","none64"
"Le journal de Corse","JOURNAL DE LA CORSE (LE)","Ajaccio","Ajaccio","hebdomadaire","1997","none","none","1817","Départemental","2A,2B","none","none","none","","none","nonenonenonenone","archives_2A_http://presselocaleancienne.bnf.fr/ark:/12148/cb34417246c"
"Le journal de la Marne","JOURNAL DE LA MARNE (LE)","Chalon","Chalon","fusion","1949","none","none","1811","Départemental","51","none","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb328008425"
"Le journal de Vichy","JOURNAL DE VICHY (LE)","Vichy","Vichy","cesse","1962","none","none","1870","Départemental","3","none","none","none","","none","none","archives_03_http://presselocaleancienne.bnf.fr/ark:/12148/cb327990226"
"Liberté","LIBERTE","Clermont Ferrand","Clermont_Ferrand","none","1965","none","none","1944","none","63","none","none","none","","none","nonenonenonenone","archives_63"
"La liberté de l'ouest","LIBERTE DE L'OUEST (LA)","Le Mans","Le_Mans","cesse","none","none","none","none","none","none","none","none","none","","none","nonenonenonenone","none72"
