"Ville","pop","cX","cY"
"2260679","18","3.0303733839","50.7677540496"
"2259939","7","3.1500510314","50.7677191056"
"2260512","1","3.058881567","50.7676717584"
"2260145","139","3.1187192859","50.7676551624"
"2260678","32","3.0275493624","50.7675830338"
"2259938","13","3.1472266359","50.7675510182"
"2260511","40","3.0560574156","50.7675014445"
"2260144","6","3.115894922","50.7674863229"
"2260333","48","3.0845653048","50.7674127836"
"2260677","48","3.0247253109","50.7674119372"
"2259937","40","3.1444022311","50.7673828447"
"2260510","66","3.0532333165","50.7673310734"
"2260332","77","3.081741058","50.7672430969"
"2260676","92.5","3.0219013137","50.767240803"
"2259936","12","3.141577879","50.7672146587"
"2260509","67","3.0504092791","50.7671606157"
"2260331","195","3.0789169143","50.7670733441"
"2260675","41","3.0190773009","50.7670695776"
"2259935","12","3.1387535453","50.7670463634"
"2260508","19","3.0475852067","50.7669900919"
"2260143","4","3.107422153","50.7669793611"
"2260330","210","3.0760927832","50.7669035219"
"2260674","91","3.0162533075","50.7668982879"
"2259934","4","3.1359292307","50.7668780037"
"2260507","3","3.044761155","50.7668194785"
"2260142","10","3.1045979522","50.7668102279"
"2259735","6","3.1644359676","50.7667695521"
"2260329","119","3.073268643","50.7667336135"
"2260673","53","3.0134293685","50.7667269605"
"2260141","19","3.1017748078","50.7666408946"
"2259734","3","3.1616115782","50.7666018372"
"2260328","17","3.0704445195","50.766563675"
"2260672","137","3.0106054847","50.7665555416"
"2260327","14","3.0676204508","50.766393645"
"2260671","57","3.0077816315","50.7663840373"
"2260140","2","3.0961274957","50.7663021145"
"2259733","17","3.1559628656","50.7662661848"
"2260670","39","3.0049577271","50.766212469"
"2260139","9","3.0933033505","50.7661327291"
"2259732","21","3.1531385425","50.7660982473"
"2260326","22","3.0619723118","50.7660533711"
"2259933","19","3.1218078837","50.7660351739"
"2260506","19","3.0306411577","50.76596551"
"2259731","5","3.1503142291","50.7659302747"
"2260325","15","3.0591482534","50.7658831512"
"2260505","76","3.0278172552","50.7657945174"
"2260138","47","3.0876550951","50.7657937037"
"2259730","16","3.1474899553","50.7657621875"
"2260324","85","3.0563242355","50.7657128501"
"2259932","2","3.1161594532","50.7656976009"
"2260137","25","3.0848310074","50.7656241251"
"2260504","137","3.0249933371","50.7656234336"
"2259729","20","3.1446656561","50.7655940383"
"2260323","99","3.0535002791","50.7655424624"
"2259931","1","3.1133352954","50.7655286665"
"2260136","5","3.082006945","50.7654544424"
"2260503","241.5","3.0221694548","50.7654522947"
"2260322","8","3.0506762998","50.7653720325"
"2259930","8","3.1105111144","50.7653596899"
"2260135","2","3.0791828178","50.7652846969"
"2260502","85","3.0193455543","50.7652810988"
"2260321","4","3.047852318","50.7652015102"
"2259536","2","3.167522952","50.7651483333"
"2260134","31","3.0763588269","50.7651148925"
"2260501","176","3.0165216726","50.7651097938"
"2259728","10","3.1361929618","50.7650891995"
"2260320","4","3.0450283653","50.7650309276"
"2259535","21","3.1646986441","50.7649806883"
"2260133","5","3.0735348201","50.7649449968"
"2260500","196","3.0136978109","50.7649384692"
"2260319","4","3.0422044486","50.7648602899"
"2260132","4","3.0707107619","50.7647750372"
"2260499","160","3.0108740393","50.7647670798"
"2259727","5","3.130544553","50.7647523056"
"2259929","2","3.0992162384","50.7646829344"
"2260498","139.5","3.0080502865","50.7645955812"
"2259928","2","3.096392763","50.7645134389"
"2259534","33","3.1562258527","50.7644773084"
"2260131","49","3.0650628797","50.7644349507"
"2260497","156","3.0052264825","50.7644240186"
"2259927","1","3.0935687506","50.7643440328"
"2259533","2","3.1534016208","50.7643094057"
"2260130","13","3.0622388906","50.764264777"
"2260496","70","3.0024026979","50.7642523916"
"2259726","1","3.1220721389","50.7642464256"
"2259926","53","3.090744725","50.7641745887"
"2259532","13","3.1505774172","50.7641414094"
"2260129","16","3.0594149207","50.7640945388"
"2260495","7","2.999579863","50.7640806743"
"2260318","2","3.0280851056","50.764005993"
"2259925","67","3.0879206901","50.7640050584"
"2259531","17","3.1477532233","50.763973378"
"2260128","114","3.0565910408","50.7639242358"
"2259924","3","3.0850967089","50.7638354457"
"2260317","92","3.0252613044","50.7638349241"
"2259530","23","3.1449290901","50.7638052152"
"2260127","69","3.0537671803","50.7637538685"
"2260316","127","3.0224375509","50.7636638126"
"2259529","28","3.1421049382","50.7636369955"
"2260126","22","3.0509432683","50.7635834371"
"2259725","25","3.1107758276","50.7635709741"
"2259923","22","3.0794487862","50.7634960429"
"2260315","68","3.0196137885","50.7634926149"
"2259528","14","3.1392808062","50.7634687562"
"2260125","25","3.0481194087","50.7634129485"
"2259352","12","3.1677854762","50.7633594517"
"2259922","12","3.0766248163","50.7633262311"
"2260314","295","3.0167900071","50.7633213155"
"2259527","6","3.1364566925","50.7633004077"
"2260124","2","3.0452956107","50.7632423733"
"2259351","3","3.1649612733","50.7631917976"
"2260313","308","3.0139662458","50.7631499966"
"2259350","2","3.1621371344","50.7630241101"
"2259921","12","3.0709770203","50.762986421"
"2260312","237.5","3.0111425416","50.7629786058"
"2259724","11","3.0994809165","50.762894209"
"2259920","7","3.0681531195","50.7628163951"
"2260311","316.5","3.0083188845","50.7628071275"
"2259723","47","3.0966580206","50.7627247289"
"2259349","7","3.1564888005","50.762688477"
"2259919","6","3.0653293013","50.7626463534"
