"Titre1","Ville","villeOk","Fin_type","Annee","Titre2","Deb_ann","Aire_diff","Liste_entites","changement_nom","date_change","appartenance","trou","payant","source_erreur","","","","",""
"LIBERTE DU CENTRE (LA)","Limoges","Limoges","cesse","1950","none","1860","Départemental","19,23,87","false,false,Le Courrier du Centre","1944","none","none","?","http://data.bnf.fr/32806822/la_liberte_du_centre__limoges__1944_/","http://presselocaleancienne.bnf.fr/ark:/12148/cb32751157c","","","",""
"LE NOUVELLISTE DU MORBIHAN","Vannes","Vannes","cesse","1944","none","1883","Départemental","56","none","","Collaboration_Vichy","none","?","https://fr.wikipedia.org/wiki/Le_Nouvelliste_du_Morbihan","http://gallica.bnf.fr/ark:/12148/cb32827118g/date","","","",""
"LIBERTE DU MORBIHAN (LA)","Vannes","Vannes","cesse","1995","none","1944","Départemental","56","false,false,LE MORBIHAN LIBERé","1944","CGT","","?","https://fr.wikipedia.org/wiki/La_Libert%C3%A9_du_Morbihan","http://presselocaleancienne.bnf.fr/ark:/12148/cb328068371","","","",""
"LIBRE ARTOIS (LE)","Arras","Arras","cesse","0","none","","Départemental","62","","","","","","http://presselocaleancienne.bnf.fr/ark:/12148/cb41279949d","","","","",""
"LIBRE POITOUS","Poitiers","Poitiers","fusion","1958","none","1940","Départemental","86,67","false,true,Centre presse","1958","Résistance française","none","?","http://gallica.bnf.fr/ark:/12148/cb344213003/date","","","","",""
"LORRAIN (LE)","Metz","Metz","cesse","1969","none","1883","Départemental","57","none","","Catholique","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32809323p","","","","",""
"LYON LIBRE","Lyon","Lyon","cesse","1948","none","1879","Départemental","69","none","","Organe de l'autonomie municipale et départementale","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32810067h","","","","",""
"MARSEILLAISE (LA)","Lyon","Lyon","cesse","1947","none","1880","Départemental","69","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32811861w","","","","",""
"MARSEILLAISE (LA)","Marseille","Marseille","none","2016","MARSEILLAISE (LA)","1943","Régional","4,5,6,9,11,12,13,30,31,32,34,46,48,65,66,81,82,83,84","none","","Résistance communiste","none","?","http://www.lamarseillaise.fr/","","","","",""
"MARSEILLAISE DU BERRY (LA)","Chateauroux","Chateauroux","cesse","1951","none","","","","","","","","","","","","","",""
"MARSEILLAISE DU CENTRE (LA)","Limoges","Limoges","cesse","1947","none","1944","","","none","","Résistance française","none","?","http://gallica.bnf.fr/ark:/12148/cb32811879z/date.item","","","","",""
"MESSIN (LE)","Metz","Metz","cesse","1947","none","1884","Départemental","57","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32815346k","","","","",""
"MIDI_LIBRE (LE)","Saint-Jean-de-Védas","Saint_Jean_de_vedas","none","2016","MIDI_LIBRE (LE)","1944","Départemental","11,12,30,34,48,66,81","none","","Les journaux du midi","none","oui","http://www.midilibre.fr/","","","","",""
"MIDI SOIR","Marseille","Marseille","cesse","1951","none","1941","Départemental","66","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb41296699t","","","","",""
"MONTAGNE (LA)","Clermont_Ferrand","Clermont_Ferrand","none","2016","MONTAGE (LA)","1919","Départemental","3,15,19,23,43,63,87","none","","Groupe Centre-France La Montagne","none","oui","http://www.lamontagne.fr/accueil.html","","","","",""
"MONTAGNE NOIRE (LA)","Mazamet","Mazamet","hebdomadaire","0","none","","","","","","","","","http://presselocaleancienne.bnf.fr/ark:/12148/cb32819777x","","","","",""
"NARODOWIEC","Lens","Lens","cesse","1989","none","1922","Départemental","59,62","none","","Journal des mineurs polonais","1940-1944","?","http://lelensoisnormandtome3.unblog.fr/2014/05/08/narodowiec-le-journal-des-mineurs-polonais/","http://argonnaute.u-paris10.fr/resource/a011403267923lES0MT","","","",""
"NATION (LA)","Clermont-Ferrand","Clermont_Ferrand","cesse","1947","none","","","","","","","","","","","","","",""
"NICE MATIN","Nice","Nice","none","2016","NICE MATIN","1944","Départemental","6","none","","Groupe Nice-Matin","none","oui","http://www.nicematin.com/","","","","",""
"NORD ECLAIR","Lille","Lille","none","2016","NORD ECLAIR","1944","Départemental","59","none","","Groupe La voix","none","oui","http://www.nordeclair.fr/","","","","",""
"NORD LITTORAL","Calais","Calais","none","2016","NORD LITTORAL","1944","Départemental","62","none","","Groupe La voix","none","oui","http://www.nordlittoral.fr/","","","","",""
"NORD MATIN","Lille","Lille","fusion","1993","None","1943","Départemental","59,62","true, true,Nord éclair","1993","Groupe Robert Hersant depuis 1967)","none","?","https://fr.wikipedia.org/wiki/Nord_Matin","","","","",""
"NORD SOIR","Lille","Lille","cesse","1947","None","1921","Départemental","59","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb328079753","","","","",""
"NORMANDIE","Déville-lès-Rouen","Deville_les_rouen","none","2016","PARIS NORMANDIE","1944","Départemental","27,76","false,true,PARIS NORMANDIE","1947","SNIC","none","oui","http://www.paris-normandie.fr/","","","","",""
"NOUVEAU JOURNAL","Strasbourg","Strasbourg","cesse","0","none","","","","","","","","","","","","","",""
"NOUVEAU RHIN FRAN_AIS","Colmar","Colmar","fusion","1962","none","1945","Départemental","68","none","","Chrétien","none","?","http://www.worldcat.org/title/nouveau-rhin-francais-grand-quotidien-chretien-republicain-du-haut-rhin/oclc/472483113","","","","",""
"NOUVEAU NORD (LE)","Lille","Lille","cesse","1947","none","","","","","","","","","","","","","",""
"NOUVEL ALSACIEN (LE)","Strasbourg","Strasbourg","cesse","1986","none","1986","Départemental","67,68,90","none","","Catholique","none","?","https://fr.wikipedia.org/wiki/Le_Nouvel_Alsacien","","","","",""
"NOUVELLE REPUBLIQUE (LA)","Lyon","Lyon","cesse","1948","none","","","","","","","","","","","","","",""
"NOUVELLE REPUBLIQUE (LA)","Tarbes","Tarbes","none","2016","NOUVELLE REPUBLIQUE DES PYRENEES","","Départemental","65","false,true,NOUVELLE REPUBLIQUE DES PYRENEES"," none","Groupe La dépêche","none","oui","http://www.nrpyrenees.fr/","","","","",""
"NOUVELLE REPUBLIQUE DE BORDEAUX ET DU SUD OUEST (LA)","Bordeaux","Bordeaux","cesse","1903","none","1900","Départemental","33","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb328530881","","","","",""
"NOUVELLE REPUBLIQUE DU CENTRE OUEST","Tours","Tours","none","2016","NOUVELLE REPUBLIQUE DU CENTRE OUEST","1944","Départemental","16,17,18,28,36,37,41,45,79,86","none","","Groupe NRCO","none","oui","http://www.lanouvellerepublique.fr/","","","","",""
"OUEST FRANCE","Rennes","Rennes","none","2016","OUEST France","1944","Départemental","75,77,78,91,92,93,94,95,76,14,27,50,61,85,44,49,53,72,56,22,29,35,23,24,33,40,47,64,79,86,87,16,14,19","none","","Groupe SIPA-Ouest France","none","oui","http://www.ouest-france.fr/","","","","",""
"PARISIEN LIBERE (LE)","Saint-Ouen","Saint_Ouen","none","2016","LE PARISIEN","1944","Départemental","75,77,78,91,92,93,94,95","false, false,LE PARISIEN","1986","LVMH","none","oui","http://www.leparisien.fr/","","","","",""
